id,language,gender,isClevel,Extraversion,EX_Leading,EX_Communion,EX_Persuasive,EX_Motivating
17778,FR,Male,No,3,3,3,5,3
10273,ENG,Male,No,6,5,7,6,5
52668,ENG,Female,Yes,6,8,5,6,5
52385,NL,Male,Yes,6,6,7,6,5
52224,NL,Male,Yes,5,6,4,6,6
52235,FR,Male,Yes,7,7,7,6,6
52497,NL,Male,Yes,6,6,7,6,5
52576,NL,Female,Yes,7,6,6,7,6
52620,ENG,Female,Yes,6,5,5,5,7
52477,NL,Male,Yes,6,6,6,7,6
52540,NL,Male,Yes,6,5,8,6,6
52541,NL,Male,Yes,6,7,7,6,3
52419,NL,Male,Yes,8,8,7,7,8
52264,NL,Male,Yes,6,7,5,6,5
52255,NL,Male,Yes,5,5,3,5,5
52349,NL,Male,Yes,4,6,1,5,4
52406,NL,Male,Yes,8,6,9,7,9
52371,NL,Male,Yes,6,7,2,7,8
52141,NL,Male,Yes,5,6,4,7,4
52678,ENG,Female,Yes,8,7,9,7,8
52254,NL,Male,Yes,5,7,4,2,6
52408,FR,Male,Yes,6,5,7,5,6
52418,NL,Male,Yes,4,4,5,3,3
52250,NL,Male,Yes,6,6,5,6,6
52294,NL,Male,Yes,7,7,7,6,5
52195,FR,Male,Yes,9,9,6,9,8
52585,ENG,Female,Yes,5,6,4,5,6
52380,FR,Male,Yes,5,6,4,5,6
52248,NL,Male,Yes,2,3,1,4,1
52591,NL,Female,Yes,4,5,4,3,4
52472,FR,Male,Yes,6,6,6,5,8
52221,NL,Male,Yes,5,5,5,4,4
52368,NL,Male,Yes,6,6,6,6,6
52664,NL,Female,Yes,6,7,7,3,5
52150,NL,Male,Yes,9,8,9,9,9
52407,NL,Male,Yes,8,8,7,8,8
52173,NL,Male,Yes,8,7,8,8,8
52252,ENG,Male,Yes,3,3,4,3,3
52552,NL,Male,Yes,4,7,3,3,3
52599,NL,Female,Yes,6,6,4,6,6
52204,FR,Male,Yes,5,6,3,5,4
52496,NL,Male,Yes,6,6,7,5,5
52272,ENG,Male,Yes,8,7,8,8,8
52542,NL,Male,Yes,7,6,8,8,5
52533,ENG,Male,Yes,3,6,1,2,4
52494,FR,Male,Yes,7,7,7,7,4
52706,ENG,Female,Yes,2,3,3,3,3
52389,NL,Male,Yes,6,6,4,7,6
52433,NL,Male,Yes,8,7,7,8,9
52362,NL,Male,Yes,5,6,4,4,5
52602,NL,Female,Yes,5,5,4,6,5
52223,NL,Male,Yes,6,7,6,6,5
52240,NL,Male,Yes,5,6,6,4,5
52172,NL,Male,Yes,9,9,7,8,9
52393,NL,Male,Yes,6,7,1,6,8
52601,NL,Female,Yes,6,6,7,7,5
52700,NL,Female,Yes,8,6,9,8,8
52352,FR,Male,Yes,8,7,7,7,7
52350,NL,Male,Yes,2,4,1,4,3
52386,NL,Male,Yes,7,6,8,7,5
52184,NL,Male,Yes,8,7,7,7,9
52296,NL,Male,Yes,9,9,9,7,8
52549,FR,Male,Yes,6,7,6,5,4
52168,ENG,Male,Yes,9,8,8,8,8
52200,NL,Male,Yes,4,6,3,3,3
52246,FR,Male,Yes,8,8,6,8,7
52713,ENG,Female,Yes,4,6,1,4,5
52399,NL,Male,Yes,5,5,5,5,3
52334,NL,Male,Yes,2,7,1,1,3
52197,NL,Male,Yes,8,8,8,8,7
52710,ENG,Female,Yes,5,5,7,3,5
52226,NL,Male,Yes,5,6,2,5,7
52467,FR,Male,Yes,6,5,6,6,6
52238,FR,Male,Yes,7,7,6,7,6
52519,NL,Male,Yes,6,5,8,7,5
52153,NL,Male,Yes,8,7,8,7,7
52347,ENG,Male,Yes,6,7,6,6,4
52537,NL,Male,Yes,5,4,6,6,5
52215,NL,Male,Yes,7,7,4,9,8
52518,NL,Male,Yes,5,7,6,5,3
52624,ENG,Female,Yes,6,5,8,7,4
52158,NL,Male,Yes,8,7,7,7,8
52327,NL,Male,Yes,7,7,7,6,6
52212,NL,Male,Yes,7,7,6,6,8
52440,NL,Male,Yes,4,6,7,3,2
52547,ENG,Male,Yes,6,5,6,6,5
52594,ENG,Female,Yes,7,7,6,7,7
52149,NL,Male,Yes,9,8,7,9,9
52425,NL,Male,Yes,8,6,8,7,8
52534,NL,Male,Yes,6,5,4,7,6
52646,NL,Female,Yes,6,6,7,6,5
52439,ENG,Male,Yes,8,7,7,9,8
52273,NL,Male,Yes,9,7,9,8,9
52446,NL,Male,Yes,5,4,7,6,3
52693,NL,Female,Yes,1,1,1,1,2
52694,ENG,Female,Yes,6,6,8,5,6
52657,NL,Female,Yes,6,3,8,7,5
52265,ENG,Male,Yes,8,8,7,8,8
52530,ENG,Male,Yes,5,5,5,4,5
52319,NL,Male,Yes,7,7,6,7,6
52595,NL,Female,Yes,6,7,6,6,5
52672,ENG,Female,Yes,6,6,6,6,5
